table,column,type,required,description
qc_reviews,qc_id,text,yes,qc_reviews.qc_id for the local Merch automation factory
qc_reviews,design_id,text,yes,qc_reviews.design_id for the local Merch automation factory
qc_reviews,spelling_pass,text,recommended,qc_reviews.spelling_pass for the local Merch automation factory
qc_reviews,readability_pass,text,recommended,qc_reviews.readability_pass for the local Merch automation factory
qc_reviews,contrast_pass,text,recommended,qc_reviews.contrast_pass for the local Merch automation factory
qc_reviews,transparent_background_pass,text,recommended,qc_reviews.transparent_background_pass for the local Merch automation factory
qc_reviews,dpi_size_pass,text,recommended,qc_reviews.dpi_size_pass for the local Merch automation factory
qc_reviews,placement_pass,text,recommended,qc_reviews.placement_pass for the local Merch automation factory
qc_reviews,duplicate_pattern_pass,text,recommended,qc_reviews.duplicate_pattern_pass for the local Merch automation factory
qc_reviews,final_qc_status,text,recommended,qc_reviews.final_qc_status for the local Merch automation factory
qc_reviews,reject_reason,text,recommended,qc_reviews.reject_reason for the local Merch automation factory
qc_reviews,fix_notes,text,recommended,qc_reviews.fix_notes for the local Merch automation factory
traffic_content,content_id,text,yes,traffic_content.content_id for the local Merch automation factory
traffic_content,design_id,text,yes,traffic_content.design_id for the local Merch automation factory
traffic_content,channel,text,recommended,traffic_content.channel for the local Merch automation factory
traffic_content,language,text,recommended,traffic_content.language for the local Merch automation factory
traffic_content,content_angle,text,recommended,traffic_content.content_angle for the local Merch automation factory
traffic_content,caption,text,recommended,traffic_content.caption for the local Merch automation factory
traffic_content,short_video_hook,text,recommended,traffic_content.short_video_hook for the local Merch automation factory
traffic_content,cta,text,recommended,traffic_content.cta for the local Merch automation factory
traffic_content,publish_status,text,recommended,traffic_content.publish_status for the local Merch automation factory
traffic_content,traffic_source_tag,text,recommended,traffic_content.traffic_source_tag for the local Merch automation factory
traffic_content,notes,text,recommended,traffic_content.notes for the local Merch automation factory
sales_analytics,analytics_id,text,yes,sales_analytics.analytics_id for the local Merch automation factory
sales_analytics,design_id,text,yes,sales_analytics.design_id for the local Merch automation factory
sales_analytics,upload_date,text,recommended,sales_analytics.upload_date for the local Merch automation factory
sales_analytics,product_type,text,recommended,sales_analytics.product_type for the local Merch automation factory
sales_analytics,price,number,recommended,sales_analytics.price for the local Merch automation factory
sales_analytics,units_sold,number,recommended,sales_analytics.units_sold for the local Merch automation factory
sales_analytics,royalty,number,recommended,sales_analytics.royalty for the local Merch automation factory
sales_analytics,external_traffic_flag,text,recommended,sales_analytics.external_traffic_flag for the local Merch automation factory
sales_analytics,ad_spend,number,recommended,sales_analytics.ad_spend for the local Merch automation factory
sales_analytics,net_profit_estimate,number,recommended,sales_analytics.net_profit_estimate for the local Merch automation factory
sales_analytics,iteration_decision,text,recommended,sales_analytics.iteration_decision for the local Merch automation factory
sales_analytics,next_action,text,recommended,sales_analytics.next_action for the local Merch automation factory
production_calendar,day,number,yes,production_calendar.day for the local Merch automation factory
production_calendar,date_placeholder,text,yes,production_calendar.date_placeholder for the local Merch automation factory
production_calendar,focus,text,recommended,production_calendar.focus for the local Merch automation factory
production_calendar,niche_research_target,text,recommended,production_calendar.niche_research_target for the local Merch automation factory
production_calendar,design_target,text,recommended,production_calendar.design_target for the local Merch automation factory
production_calendar,qc_target,text,recommended,production_calendar.qc_target for the local Merch automation factory
production_calendar,listing_target,text,recommended,production_calendar.listing_target for the local Merch automation factory
production_calendar,content_target,text,recommended,production_calendar.content_target for the local Merch automation factory
production_calendar,analytics_task,text,recommended,production_calendar.analytics_task for the local Merch automation factory
production_calendar,completion_status,text,recommended,production_calendar.completion_status for the local Merch automation factory
